0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Daily load,Meretrix,Microfiber,Perna,Shellfish size,Tidal cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attachment theory,grounded theory,qualitative analysis,social attachment,social media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity-based sensing,Azo dye,Flavylium,Hypoxia detection,Turn-on fluorescent sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman tourism cluster of Thailand,Brand culture,Multi-method research,Regional brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy-absorption,Multiwalled carbon nanotube,Nanocomposite,Numerical simulation,Polybenzoxazine composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok,COVID-19,Food waste,Household,Lifestyle,Plastic waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliometric analysis,Biomedical applications,Chitosan,Emerging technology,Food industry,Patent analysis,Technological convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer’s disease,Aβ monomer,Guanidinyl tryptophan compounds,Lipid bilayer,Molecular dynamics simulation,TGN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,Camptothecin,Cytotoxicity,Drug release,Gold nanohybrids,Hydrophobic anticancer drug,Intermolecular interactions,Nanocarriers,Pullulan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capsular fibroblast,Desmin,Dilated cisternae of rough endoplasmic reticulum,Folliculostellate cell,Macrophage,Pericyte,Three-dimensional reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedload,Human activity,Riverine sediment processes,Sediment load,Suspended sediment load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate image,Corporate social responsibility,Customer trust,Emerging economy,Mediation,Multi-dimensional CSR,Smart PLS,Times of crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botulinum toxin,injection,Nasal dorsum augmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corrosion,electrodeposition,morphology,texture,zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-varicella-zoster virus IgG,Diagnostic accuracy,Healthcare workers,Self-reported history,Seroprevalence,Varicella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antivirals,COVID-19,COVID-19 outcomes,Favipiravir,Thailand,Treatment guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspergillus lentulus,cryptic species,DNA sequencing,MALDI-TOF MS,multidrug resistance,pulmonary aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiac disease,Cat,Pleural effusion,Protein concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,Heart failure,Patient readmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood parasites,C-reactive protein,Dog,Electrophoresis,Serum protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
platelet factor 4,prevalence,thrombocytopenia,thrombosis,vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health education,Hypertension,Medication adherence,Patient compliance,Pharmacy,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caring,Hospitals,Nurse-Patient Relations,Nursing Process,Patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioacoustics,Cryptic species diversity,Dicroglossidae,Genome,Limnonectes bagoensis sp. nov,Limnonectes bagoyoma sp. nov,Myanmar,New species,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthropometrics Measurement,Knowledge,Nutrition Intervention,Team Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcGIS Online,Fieldwork,Geoscience,Smartphone,Survey123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-tyrosinase,Antibacterial,Anticancer,Antioxidant,Medicinal plant extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scattering Amplitudes,Superstrings and Heterotic Strings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerobic Exercise,Arterial Stiffness,Interval Training,VO2max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle Instability,Dynamic Balance,Proprioceptive Training,Whole Body Vibration Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorptive capacity,Innovation performance,Open innovation,Organisational agility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chemical composition,Microstructural rejuvenation,modified alloys,Ni based superalloys,reheating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISI 410,carbide,fracture,low temperature,tempering,impact energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenic,Electrokinetic,Micro-X-ray fluorescence,Mine tailings,Mott dwarf Napier grass,Phytoremediation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confinement,Cotton fiber rope,Fiber rope reinforced polymers (FRRP),Hemp fiber rope,Polyester fiber rope,Square concrete columns,Ultimate strain model,Ultimate strength model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyloid-β,Antioxidant,Caenorhabditis elegans,Glochidion zeylanicum,Glutamate,H2O2,HT22,Neurite outgrowth,Neuro-2a,Nrf2/SIRT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biopharmaceuticals,Coronavirus,COVID-19,Molecular farming,Plant expression,Recombinant proteins,SARS-CoV-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision-making process,Government agency support,start-up firms,start-up fundraising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFT calculation,Maprotiline,Protriptyline,Tricyclic antidepressants (TCAs),X-ray analy-sis,β-cyclodextrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biofilter acclimation,Nitrification biofilter,Nitrifying bacteria,Recirculating aquaculture system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline data,hematology,peripheral blood cells,South East Asia,tailed amphibian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building materials,Northeastern Thailand,Radiological hazard,Sand,Standard guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,Lung cancer,Molecular dynamics,Nanosheets,P53,Peroxynitrite,S-nitrosylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytology,Fine-needle aspiration,Medullary thyroid carcinoma,Sensitivity,Specificity,Thyroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building information modeling (BIM),Clash detection,Structural kingpost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facing targets sputtering,Fe3Si film,Mechanical property,Plasma treatment,Wettability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discriminative measurement,Flow rate,Performance test,Thoron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen production,Metal nanoparticle-decorated titanium dioxide,Photochemistry,Remediation,Wastewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocyte,Chronic pain,Curcumin,Microglia,Neuroinflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold microstructure,Magnetowetting,Non-wetting gold film,PDMS,SERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basalt,granite,sapphire,tectonic,Thailand,xenolith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cationic liposomes,DNA vaccines,Immunogenicity,Lipoplexes,SARS-CoV-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep cement mixing wall,Excavation,Failure mechanism,Physical modelling,Wall slenderness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cultural diffusion,genome-wide,Mainland Southeast Asia,population interaction,South Asian admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delirium,Inflammation,Neuroimmune,Neutrophils,Oxidative stress,Psychiatry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epidemiology,mortality,pediatric sepsis,septic shock,severe sepsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical micelle concentration,Curcumin,Escherichia coli,Listeria innocua,Micelle,Microbial photoinactivation,Photosensitizer,Reactive oxygen species,Singlet oxygen (1O2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARS-CoV-2,Single-cycle influenza virus-based vaccine,Spike RBD,Spike-pseudotyped virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covalent intermediate,Crystal structure,GH13,Short-chain maltooligosaccharides,Weissella cibaria,α-amylase family,α-glucosidases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conformal Field Models in String Theory,Extended Supersymmetry,Field Theories in Lower Dimensions,Supersymmetric Gauge Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerometer,Non-motor symptoms,Parkinsons disease,Sensor,Wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasion,Lung cancer,Nicotine,Proteomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akt,Cdc42,FAK,Integrin,Lung cancer,Metastasis,Millettocalyxin B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhesion,Brake application,Organic matrix composites,Polymers and plastics,Thermal analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,Cloud orchestration,Container technology,Integer linear programming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Hydroxymethylfufural,Carbon acid catalyst,Hydrothermal carbonization,Microwave,Process intensification,γ-Valerolactone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colistin,Multidrug-resistant bacteria,Pediatrics,Pharmacokinetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2adsorption,Coordination polymers,Hydrazide,In situ synthesis,Lanthanide,Photoluminescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necromass,Root biomass,Salinity,Seasonality,Secondary mangrove,Tropical mangrove,Zonation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell main spectra,Circulating tumour cell,MALDI-TOF,Method development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depression,depressive disorders,meta-analysis,multiple medications,polypharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy,computer-assisted implant surgery,dental implant,drilling system,guided surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-hydroxymethylfurfural,Acidity,Carbon/silica nanocomposite,Glucose,Niobium oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLF,Altered sensorium,Cirrhosis,Delirium,Hepatic coma,Liver failure,Natural history,Outcomes,Predictive models,Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community,gastroenteritis,hospital,norovirus,nosocomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimers disease,Diagnosis,Mild cognitive impairment,Montreal Cognitive Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperplasia,Hypertrophy,Pulmonary artery,Smooth muscle cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egs_chamber,Field output correction factors,Radiophotoluminescence glass dosimeter,Small field dosimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental fitness trade-off,Nanoscale zero valent iron,Phenotypic variant,Repetitive exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorophyll,Cryptophyte,Phycoerythrin,Pigment,Rhodomonas salina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early antiretroviral therapy,HIV reservoir,Paediatric,Prophylaxis,Vertical infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affective disorders,Bipolar disorder,Depression,Endocannabinoid receptors,Neuro-immune,Neurodegeneration,Neuroscience,Neurotoxicity,Oxidative stress,Psychiatry,Schizophrenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continuance usage intention,COVID-19,E-learning quality,Student satisfaction,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antibiotic resistance,Campylobacter,duck,genotyping,prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haemolytic anaemia,KLF1,Krüppel-like factor 1,Newborn,transcription factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active sites,Bronsted-lewis acid,Metathesis,Silanol structure,Silica-alumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anticancer activity,Apoptosis,Parmelia sulcata,Phenolic compounds,Silver nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined hepatocellular-cholangiocarcinoma,Histopathology,Immunohistochemistry,Intrahepatic cholangiocarcinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute HIV infection,antigen/antibody assays,antiretroviral agents,same-day therapy,signal-To-cutoff ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Space Station (ISS),load management algorithm,photovoltaic (PV) systems,space environment,system modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adsorption,Arsenic,Arsenite,Fixed-bed column,Oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immunohistochemistry,medication-related osteonecrosis of the jaw,osteoclast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,EG00229,EG01377,Neuropilin-1,SARS-CoV-2 S1 CendR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystallographic orientation,dendrite-free,graphene oxide,separators,zinc ion batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomarker,Growth differentiation factor-15,Heart transplant,Outcomes,Primary graft dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag-NPs,Basella alba,Biological activities,DLS analysis,TEM analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babesia spp.,Diagnosis,Goat,Plasmodium caprae,Theileria spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviour,child,dental caries,education,motivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,Cytokine storm,Immune,Inflammation,Interleukin-1,Interleukin-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D black phosphorus,Asymmetric supercapacitor,Phosphorus doped materials,Symmetric supercapacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nociceptors,Orthodontics,Pain,Tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell reprogramming,fibroblast,induced pluripotent stem cells,morphology,porcine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkali-activated cement,Controlled low-strength material,Fly ash,Steel slag,Waste recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH,Calcium signaling,Dental follicle stem cells,Osteogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectiveness,Highly drug-resistant epilepsies,Perampanel,Real-world setting,Tolerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiation,Human dental pulp cells,Interleukin 15,Mineralization,Notch signaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borax,Compressive strength,Flexural strength,Geopolymer,Microstructure,Rice husk ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biosorption,Cyanobacterium,Fe(III),Groundwater,Kinetic models,Synechocystis sp. PCC 6803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D and 3D,Electrical resistivity tomography,Khorat plateau,Thakek fault zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma-aminobutyric acid (GABA),Genome analysis,Glutamate decarboxylase (GAD),Lactic acid bacteria (LAB),Lactobacillus plantarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhesion molecules,Antidepressant drugs,Contact hypersensitivity,Cytokines,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisotropy,exact stiffness matrix,foundations,multilayered half-space,poroelasticity,soil-structure interaction,vibrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catabolite repression,d-Lactic acid,Draft genome sequencing,Homofermentation,Sporolactobacillus terrae,Sugar tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied charge number,C-S-H,C-S-H decomposition,Chloride removal efficiency,Electrochemical chloride extraction,Intermittent application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute heart failure,Cardiomyopathy,Outcome,Thyroid,Thyrotoxicosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ-5D-5L,mapping,Thailand,WHOQOL-BREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute rejection,Allograft function,Cytokines,eGFR,ELISPOT,Kidney transplantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum development/evaluation,dental education,geriatric curriculum,postgraduate education,special care dentistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biosimilar,Combination therapy,Efficacy,Metastatic breast cancer,Monotherapy,Safety,Trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bat,coronavirus,seroprevalence,Thailand,villagers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antimicrobial resistance,antimicrobial susceptibility,dogs,urinary tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content streaming,Globalization,Netflix,OTT,Thailand,VoD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biolubricant basestocks,Jatropha oil,Palm fatty acid distillate,Soybean oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axenized,Entamoeba nuttalli,Genotyping,Locus,Myanmar,Rhesus macaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA,Eustigmatophyceae,Ionic liquids,Lipid,Microwave,RSM,Solid-liquid extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorella sp.,Field study,Lab scale,Phycoremediation,Polluted river water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-oil,Engine analysis,Hydro-deoxygenation,Hydrothermal liquefaction,Microalgae,Reduced greenhouse gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blood–brain barrier,brain,cerebrospinal fluid,in situ hybridization,localization,neuropathogenesis,tilapia lake virus,ventricles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok,Food handlers,Food safety,Practices,Predictors,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENR,Morphology,Nanocomposite,Nanosized silica,PLA,Toughness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatomy,Nasal septum,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount factor,Exchange rates,Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apical papilla,cell migration,cell proliferation,lipopolysaccharide,osteogenic differentiation,root development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acid tolerance,arginine,calcium sodium phosphosilicate,dentin hypersensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip gauge,Optimisation,Strain gauge,Transducer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acid exposure time,impedance-pH monitoring,post reflux swallow-induced peristaltic wave,reflux episodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinical trial,depression,mental disorders,Minocycline,neurogenesis,neuroscience,psychiatry,treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active failure,Design chart,Finite element method,Trapdoor,Two-layered clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioural problems,Cognitive ability,Parenting,Preschool,School-age children,Screen media multitasking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antioxidants,bacteria,Deficit schizophrenia,inflammation,oxidative and nitrosative stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deficit schizophrenia,inflammation,neuroimmune,phenomenology,symptom domains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export,Finance,Financial constraints,Global production networks,Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film,Interfacial adhesion,PBAT,PLA,Tough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dopamine,epinephrine,monoamine,norepinephrine,Parkinson’s disease,serotonin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auxiliary power,Energy efficiency,Open cathode,Proton exchange membrane fuel cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copper oxide,creatinine,electrochemical analysis,screen-printed carbon electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asynchronicity,availability,media synchronization theory,permanence,publicness,social media,symbol variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,information system successful model,push-pull-mooring theory,switching costs,telelearning,trust,user satisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alternatives to antibiotics,antibiotic resistance,one-health,pig production,policy,slaughtering process,South East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,echocardiography,MMVD,sacubitril/valsartan,symptomatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZZA,Hybrid catalyst,Hydrogenation,LPG synthesis,Zeolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqueous zinc-ion batteries,binders,DFT,manganese oxide,rechargeable batteries,Zn/α-MnO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electrocatalyst,metal hydroxide,NCM,oxygen evolution reaction,water splitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiotic stresses,Agriculture,Nanomaterials,Nanotechnology,Plant stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Biotechnology,Cellular processes,Nanoparticles,Nanotechnology,Plant stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity construction,Language methodology course,Professional discourse & awareness,Teaching competence,Teaching skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1 Thai learners,L2 English,Language transfer,Passive construction,Verb types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2 writing,Lexical collocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardiomyocytes,differentiation,induced pluripotent stem cells,LIN28,pluripotency,porcine,reprogramming,self-renewal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair concentrations,protease inhibitors,resource-limited settings,second-line failure,virological failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregatibacter actinomycetemcomitans,Chromatin,Cytolethal distending toxin,Genotoxin,Saccharomyces cerevisiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High pressure,Iron-based compound,Lattice vibration,Novel phase,Superconductivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoustic features,Frequency perturbation,Motor symptoms,Parkinsons disease,Sustained vowel phonation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biogas,Ethanol wastewater,Reactor volumetric ratio,Recycle ratio,Three-step anaerobic sequencing batch reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcium oxide,Modified Langmuir-Hinshelwood kinetic model,Saponification,Transesterification,Water influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst deactivation,Density functional theory,MnO2,Oxygen evolution reaction (OER),Oxygen reduction reaction (ORR),Zinc-air battery (ZAB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air pollution,anemia,blood coagulation,leukemia,particulate matter,thrombosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti CRISPR mechanism,jumbo phage,nucleus-like compartment,phage nucleus,PhuZ,spindle-like structure,subcellular organization,viral speciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceria,Hydrogen,Scandium,Solid oxide electrolysis cell,Steam electrolysis,Zirconia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2conversion,Cost analysis,Low temperature and pressure,Methanol,Process simulation,Techno-economic analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assistive technology,Computer vision,Machine learning,Scene understanding,Visually impaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial marbling beef,Convolutional neural networks,Image classification,Transfer learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corneal densitometry,Cross-linking,Higher-order aberration,Keratoconus,Keratometry,Topometric index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee ring effect,MALDI-MS,nanomaterials,particle-peptide binding efficiency,signal enhancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARPES,Electronic structure,Heavy fermions,Hidden order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ductility,Energy dissipation capacity,Flat slab,GFRP rods,Punching shear failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6-orthoquinone-primaquine,Plasma,Primaquine,Urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass waste derived catalyst,Fatty acid methyl ester (FAME),Glycerol carbonate production,Mass and heat transfer,Process intensification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antifouling,Hydrophobic film,Polydimethylsiloxane elastomer,Polymer blend,Polyurethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2adsorption,Layer-by-layer (LbL) technique,PolyHIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anticancer,Antioxidant,Antiviral,Delivery system,Metabolism,Neuroprotective,Oxyresveratrol,Synthesis culture,Tyrosinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Rs,Bangkok,Empirical study,Food supply chain,Food waste (FW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All-vanadium redox flow battery,Atmospheric pressure plasma jets,Graphite felt,Limiting current density,Overpotential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging markets,ESG,Fund ratings,Mutual funds,Socially responsible investing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytokines,Fibroblast-like synoviocytes,Neutrophil-derived microvesicles,Osteoarthritis,Synovitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aortic stenosis,stroke,TAVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenges of reflective practice,issues of reflective practice,reflective practice,teacher education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
